ma_suhu,ror_suhu,ma_gas,api_mentah,label
28.0,0.05,300,4095,NORMAL
29.5,0.10,400,4095,NORMAL
31.0,0.15,500,4000,NORMAL
33.0,0.25,750,3500,NORMAL
34.5,0.29,790,2600,NORMAL
30.0,0.00,200,4095,NORMAL
32.0,0.00,150,4095,NORMAL
27.0,0.02,600,4095,NORMAL
26.5,0.12,100,3800,NORMAL
34.0,0.20,700,2800,NORMAL
25.0,0.00,100,4095,NORMAL
26.0,0.05,200,4095,NORMAL
28.5,0.10,300,4095,NORMAL
31.5,0.20,400,4095,NORMAL
32.5,0.22,600,4095,NORMAL
36.0,0.10,400,4095,WASPADA
38.0,0.20,500,4095,WASPADA
42.0,0.25,300,4095,WASPADA
30.0,0.40,200,4095,WASPADA
31.0,0.60,300,4095,WASPADA
32.0,0.85,400,4095,WASPADA
29.0,0.10,900,4095,WASPADA
30.0,0.15,1500,4095,WASPADA
31.0,0.20,2000,4095,WASPADA
28.0,0.05,300,2000,WASPADA
29.0,0.10,400,1500,WASPADA
30.0,0.15,500,1200,WASPADA
36.0,0.50,1000,2000,WASPADA
39.0,0.80,1500,1800,WASPADA
44.0,0.90,2200,1100,WASPADA
35.5,0.35,850,2400,WASPADA
46.0,0.10,400,4095,BAHAYA
50.0,0.20,500,4095,BAHAYA
55.0,0.30,600,4095,BAHAYA
30.0,1.10,200,4095,BAHAYA
31.0,1.50,300,4095,BAHAYA
32.0,2.00,400,4095,BAHAYA
29.0,0.10,2600,4095,BAHAYA
30.0,0.15,3000,4095,BAHAYA
31.0,0.20,3500,4095,BAHAYA
28.0,0.05,300,800,BAHAYA
29.0,0.10,400,500,BAHAYA
30.0,0.15,500,200,BAHAYA
48.0,1.20,2800,800,BAHAYA
52.0,1.80,3200,400,BAHAYA
56.0,2.50,4000,100,BAHAYA
